decision,call_type,contact_level,contact_trigger,contact_region,comment,clip_url,human_level
CNC,Foul: Loose Ball,legal,cleanly,ball,Claxton (BKN) cleanly deflects the ball away from Williams Jr. (MEM) as they pursue the rebound.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022300879_2074_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Shooting,legal,legal guarding position,lower_body,Mitchell (UTA) maintains a legal guarding position during Knight's (DET) jump shot attempt.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021900941_2176_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Shooting,legal,legally contests,lower_body,Minott (BOS) legally contests Edgecombe's (PHI) jump shot attempt.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022500021_2099_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,legal,legal guarding position,lower_body,Biyombo (CHA) maintains a legal guarding position on Robinson (MIA) off ball and cleanly deflects the pass out of bounds.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022000686_2096_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Offensive,legal,establishes,lower_body,Adams (OKC) establishes himself in a legal picking position in Washington's (CHA) path.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021900467_2185_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Offensive,unclear,,unstated,Adebayo (MIA) is already in Brown's (BOS) path as he sets the pick and is firming up when contact occurs.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0042100307_2225_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Shooting,unclear,,lower_body,Martin (TOR) makes legal contact to Edgecombe's (PHI) hand after he released the ball on his shot attempt.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022500550_2164_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Loose Ball,unclear,,ball,Murray-Boyles (TOR) deflects the ball away from Bona (PHI) as they pursue the rebound.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022500550_2168_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Shooting,unclear,,hand,Mills (BKN) applies his left hand to Morris' (WAS) side and immediately removes his hand as Morris begins his upward shooting motion.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022200793_2112_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Loose Ball,unclear,,body,Kanter (POR) makes some contact to Barton's (DEN) back during the rebound but does not affect his ability to retrieve the ball.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0041800233_2467_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Shooting,unclear,,arm,Barnes (TOR) has his forearm rested on Butler's (MIA) left side and does not apply any force as Butler fades away during his upward shooting motion.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022100662_2102_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Offensive,unclear,,unstated,Doncic (DAL) stops short and releases contact from Holiday (NOP) without pushing off.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021900923_2182_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Shooting,unclear,,hand,Tucker (HOU) places his hand to Lillard's (POR) front while defending his drive to the basket and removes it prior to the start of his upward shooting motion.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022000029_2276_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,unclear,,hand,Duren (DET) places a hand to Towns' (NYK) front after being drawn toward him during the pump fake but the contact does not affect Towns' SQBR.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0042400124_2228_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,unclear,,unstated,White (CHI) releases away from Williams (UTA) as they separate during the pick.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022500573_2100_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,none,does not make contact,arm,"Sexton (CLE) does not make contact with Lillard's (POR) arm. However, Mobley (CLE) swipes down and makes contact to Lillard's arm during his driving shot attempt.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022100108_2253_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,none,does not make contact,body,"Nunn (MIA) initially moves along Brunson's (DAL) path. When Brunson stops and pump fakes, he draws Nunn towards him, resulting in body contact that occurs during Brunson's upward shooting motion.  Herro (MIA) does not make contact.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021900384_2167_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,marginal,marginal,arm,"Suggs (ORL) extend his off-arm into Okogie's (PHX) head/face, initiating more-than-marginal contact.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022400352_2095_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,marginal,grazes,arm,"After Collins (ATL) grazes the ball without dislodging it, he makes further contact to Randle's (NYK) arm that affects his driving shot attempt.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021900787_2221_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,marginal,marginal,unstated,"Niang (ATL) re-adjusts his path and delivers contact to Mitchell (MIA), dislodging him from his defensive position. Any contact by Highsmith (MIA) on the play is marginal.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0052400201_2211_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,marginal,marginal,lower_body,"Ball (CHI) does not get up to ball height and initiates contact with Grant's (DET) right forearm that affects his jump shot attempt. On his follow through Grant turns and extends his right leg, which connects with Ball. The contact is marginal.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022100004_2149_DF%20BCAST_1509kbps.mp4,
INC,Foul: Personal,marginal,marginal,arm,"Ariza (MIA) makes contact to Rozier's (CHA) arm and pulls it away from the ball, which affects his ability to cleanly retrieve the inbounds pass. After Rozier gains possession, any contact with Ariza and Iguodala (MIA) before they dislodge the ball out of bounds is deemed marginal.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022000686_2103_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,marginal,incidental,head,"Smart (BOS) moves into and makes contact with Griffin's (BKN) body, who jumps straight up, which affects his jump shot attempt. Any contact with Smart's face is deemed incidental as Griffin has a natural shooting motion and is a result of Smart crowding Griffin.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022000899_2304_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,marginal,marginal,arm,"Kleber (DAL) initially makes marginal body contact with Adebayo (MIA), but as Kleber reaches with his arm to contest, he makes contact with Adebayo's forearm that affects his shot attempt.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021900384_2158_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,marginal,marginal,lower_body,"Barnes (SAC) does not maintain a legal position on LeVert?s (IND) drive and a foul call is warranted.  Mitchell (SAC) makes marginal contact with LeVert at the end of the drive, and King (SAC) beats LeVert to the spot.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022100143_2091_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,affecting,affects,lower_body,Whiteside (POR) is late to the spot and delivers leg to leg contact which affects Hollis-Jefferson's (TOR) ability to defend.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021900549_2181_DF%20BCAST_1509kbps.mp4,
INC,Foul: Personal,affecting,grabs,ball,"Graham (MIN) grabs and holds Harris (BKN) off ball, affecting his FOM.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021900006_2258_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,affecting,affects,body,Lyles (SAS) moves A to B into Beasley (MIN) and makes body contact that affects his driving shot attempt.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022000334_2109_DF%20BCAST_1509kbps.mp4,
INC,Foul: Loose Ball,affecting,clamps,arm,"Collins (UTA) clamps and holds Siakam's (IND) arm, affecting his ability to get to the rebound.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022400707_2209_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,affecting,affects,arm,Niang (UTA) makes contact with Wallace's (LAC) arm and affects his driving shot attempt.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021801229_2168_DF%20BCAST_1509kbps.mp4,
INC,Foul: Personal,affecting,initiates contact,arm,"Green (DET) reaches in and initiates contact with Leonard's (LAC) wrist that pulls his hand off the ball, causing him to lose control of the ball.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022500544_2145_DF%20BCAST_1509kbps.mp4,
INC,Foul: Loose Ball,affecting,initiates contact,arm,Lowry (MIA) initiates contact to Watanabe's (BKN) arm and the contact affects his ability to gather the loose ball.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022200599_2147_DF%20BCAST_1509kbps.mp4,
INC,Foul: Loose Ball,affecting,grabs,arm,"Carter Jr. (ORL) grabs and holds Antetokounmpo's (MIL) right arm, which affects his ability to get to the ball during jump ball.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022400526_2092_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,affecting,initiates contact,arm,"Allen (CLE) brings his arm down and initiates contact with Bridges' (PHX) arm, which affects his driving shot attempt.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022200565_2145_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,affecting,grabs,unstated,Jackson Jr. (MEM) grabs and pulls Barrett's (NYK) jersey prior to the blocked shot and the contact affects his shot attempt at the rim.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022101000_2079_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,legal,establishes,lower_body,Kuminga (GSW) establishes a wide screening position in Alexander-Walker's (UTA) path and contact occurs to his leg.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022200372_2099_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,legal,establishes,lower_body,Tucker (PHI) establishes a legal guarding position in Morant's (MEM) path before his upward motion and absorbs contact when it occurs.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022200889_2151_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,legal,legal guarding position,lower_body,"MOB shows Bryant (WAS) does not maintain legal guarding position, and he makes contact to Lemon Jr.'s (CHI) arm as he defends the shot near the rim.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021801167_2181_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,legal,establishes,lower_body,Horford (BOS) establishes a wide screening position in Langford's (SAS) path and contact occurs to his foot.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022200591_2142_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,legal,firms up,lower_body,"At the end of the drive, Dozier (DEN) firms up on his left foot and establishes himself in a legal guarding position when Durant (BKN) goes through him as he releases his pass.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022000158_2156_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,legal,verticality,arm,Collins (SAS) does not maintain verticality and makes contact with Mitchell's (CLE) arm as he defends the shot near the rim.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022200406_2133_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,legal,establishes,lower_body,Embiid (PHI) establishes a wide screening position in Watson's (DEN) path and the contact occurs to his leg.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022500507_2138_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,legal,establish,unstated,Siakam (IND) is late to establish a screening position in White's (BOS) path and does not give him the time or distance to change direction and avoid the contact during the pick.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022500559_2105_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,legal,establishes,lower_body,"Antetokounmpo (MIL) establishes a wide screening position in Craig's (CHI) path, and foot to foot contact occurs during the pick.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022300300_2104_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,legal,established,unstated,Sabonis (IND) is not established in McCollum's (POR) path as he delivers contact during the pick.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021900874_2147_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,unclear,,arm,Castle (SAS) makes contact with Edwards' (MIN) arm as he is starting his upward shooting motion.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022500552_2094_DF%20BCAST_1509kbps.mp4,
INC,Foul: Away from Play,unclear,,unstated,RAR shows Morris (OKC) wraps Redick (PHI) during the inbound.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021800927_1099_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,unclear,,arm,Rozier (CHA) reaches for the ball and makes contact with McDaniels' (MIN) arm after he has gathered.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022300610_2116_DF%20BCAST_1509kbps.mp4,
INC,Foul: Personal,unclear,,hand,"Prior to the gather, Smith Jr. (CHA) reaches across and makes contact with Garland's (CLE) hand at the end of his drive.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022201015_2090_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,unclear,,body,Drummond (BKN) moves into and makes contact with Bridges' (CHA) body while defending his drive to the basket and shot attempt.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022101120_2089_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,unclear,,arm,Harden (HOU) brings his arm downward and to his left and makes contact to the top of Thompson's (GSW) head/neck area during his follow-through.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0041800224_2274_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,unclear,,lower_body,"Lawson (TOR) continues moving forwards into Sharpe (POR) after handing the ball off, delivering illegal body contact.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022400980_2126_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,unclear,,arm,Brown (TOR) brings his hand down and makes contact with Avdija's (WAS) arm prior to Agbaji (TOR) making contact with the ball.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022301022_2098_DF%20BCAST_1509kbps.mp4,
INC,Foul: Offensive,unclear,,lower_body,Holmes (SAC) is in a wide stance when the leg to leg contact with Harden (HOU) occurs during the screen.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022000065_2173_DF%20BCAST_1509kbps.mp4,
INC,Foul: Shooting,unclear,,body,"Giddey (OKC) jumps toward Batum (LAC) to contest the jump shot attempt, causing lower-body contact to occur after Batum's release.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022100444_2144_DF%20BCAST_1509kbps.mp4,
